0,0.082043,0.84615,0.05981,0.12844,0.7,0.081823,0.077706,0.082519,0.17736,0.049451,0.26582,0.12883,0.13043,0.047186,0.10739,0.10082,0.043767,0.14347,0.03621,0.060036,0.10466,0.085072,0.80952,0.10623,0.078148,0.077223,0.067274,0.17215,0.10064,0.091179
0.1,0.088764,0.84615,0.065743,0.13792,0.7,0.088058,0.083082,0.086995,0.17736,0.053756,0.26582,0.13639,0.13478,0.051349,0.11642,0.10263,0.045422,0.15213,0.039837,0.065511,0.11231,0.091507,0.80952,0.11337,0.083809,0.083108,0.073004,0.18404,0.10352,0.099593
0.2,0.096685,0.84615,0.072983,0.14822,0.7,0.095322,0.089257,0.091984,0.17736,0.058882,0.26582,0.14489,0.13943,0.056319,0.12616,0.1045,0.047205,0.16093,0.044272,0.072085,0.12117,0.098994,0.80952,0.12155,0.090354,0.089964,0.079801,0.19691,0.10658,0.1073
0.3,0.10616,0.84615,0.082015,0.15934,0.7,0.10389,0.096417,0.097581,0.17736,0.065088,0.26582,0.15452,0.14441,0.062353,0.13724,0.10644,0.049135,0.16722,0.049819,0.080126,0.13155,0.10782,0.80952,0.131,0.098008,0.096325,0.087994,0.20758,0.10982,0.1167
0.4,0.11769,0.84615,0.093599,0.17006,0.7,0.11416,0.10365,0.1039,0.17736,0.072757,0.26582,0.16503,0.14976,0.069835,0.14933,0.10845,0.05123,0.1725,0.056954,0.090185,0.14388,0.11836,0.80952,0.14205,0.10708,0.10237,0.09806,0.21677,0.11326,0.12861
0.5,0.13203,0.84615,0.10899,0.17895,0.7,0.12667,0.11163,0.1111,0.17736,0.082474,0.26582,0.17514,0.15552,0.079359,0.16448,0.11054,0.05351,0.17522,0.066475,0.10313,0.15875,0.12877,0.80952,0.15513,0.118,0.10946,0.11073,0.22799,0.11693,0.14141
0.6,0.15035,0.84615,0.13045,0.18904,0.7,0.14141,0.12071,0.11937,0.17693,0.095187,0.26582,0.18257,0.16174,0.09189,0.18403,0.11272,0.055896,0.17576,0.079818,0.12042,0.17706,0.13983,0.80952,0.1687,0.1314,0.11776,0.12715,0.24136,0.12084,0.15794
0.7,0.17458,0.84615,0.16242,0.2018,0.7,0.15483,0.12991,0.12897,0.1717,0.11253,0.26582,0.18377,0.16848,0.10912,0.20609,0.11498,0.058289,0.17268,0.099522,0.14452,0.19623,0.15395,0.80952,0.17994,0.14824,0.1278,0.1493,0.25291,0.12502,0.17758
0.8,0.20811,0.84615,0.21377,0.21377,0.7,0.16922,0.14158,0.14025,0.16482,0.13761,0.26582,0.18352,0.1758,0.13389,0.23283,0.11731,0.06091,0.16504,0.12724,0.17946,0.21778,0.17234,0.80952,0.19203,0.17003,0.14002,0.1807,0.26436,0.12951,0.20483
0.9,0.25718,0.84615,0.3123,0.21988,0.7,0.18742,0.15669,0.15369,0.15794,0.17707,0.26582,0.18198,0.17921,0.17082,0.26477,0.11941,0.063815,0.1546,0.18024,0.23529,0.23918,0.19139,0.80952,0.20704,0.19932,0.15654,0.22764,0.27666,0.13432,0.25218
1,0.30559,0.84615,0.31993,0.22828,0.7,0.21424,0.17433,0.16812,0.14886,0.2465,0.26582,0.17237,0.1293,0.21404,0.30247,0.12067,0.067053,0.1405,0.27171,0.34596,0.20038,0.2142,0.80952,0.22477,0.23832,0.18106,0.3038,0.29061,0.13939,0.36229
